Movie_Name,Tags,Description,Video_trailer,Year,Actors
A Fantastic Woman ,"Drama, Woman*, Latinx","“Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.” (Source: IMDB)",https://www.youtube.com/watch?v=PJHex4ZitgA,2017,Daniela Vega
Beatriz at Dinner,"Comedy, Woman*, Latinx",“A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.” (Source: IMDB),https://www.youtube.com/watch?v=JJweqjIWtbg,2017,Salma Hayek
Beatriz at Dinner,"Drama, Woman*, Latinx",“A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.” (Source: IMDB),https://www.youtube.com/watch?v=JJweqjIWtbg,2017,Salma Hayek
Belle ,"Drama, Woman*, Black",“The mixed-race daughter of a Royal Navy Admiral is raised by her aristocratic great-uncle in 18th-century England.” (Source: IMDB),https://www.youtube.com/watch?v=9Qx90wdRD2I,2013,Gugu Mbatha-Raw
Black Panther,"Action, Woman*, Black","“T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.” (Source: IMDB)",https://www.youtube.com/watch?v=xjDjIWPwcPU,2018,"Chadwick Boseman, Michael B. Jordan"
Black Panther,"Action, Man*, Black","“T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.” (Source: IMDB)",https://www.youtube.com/watch?v=xjDjIWPwcPU,2018,"Chadwick Boseman, Michael B. Jordan"
Catfight,"Comedy,  Woman*, Asian",“The rivalry between two former college friends comes to a head when they both attend the same glamorous event.” (Source: IMDB),https://www.youtube.com/watch?v=XlA6XIj1sPk,2016,Sandra Oh
Central Intelligence,"Comedy, Man*, Black","“After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.” (Source: IMDB)",https://www.youtube.com/watch?v=MxEw3elSJ8M,2016,"Dwayne Johnson, Kevin Hart "
Colombiana,"Action,Woman*, Black","“A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.” (Source: IMDB)",https://www.youtube.com/watch?v=HCxPLlFWdFo,2011,Zoe Saldana
Colombiana,"Action,Woman*, Latinx","“A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.” (Source: IMDB)",https://www.youtube.com/watch?v=HCxPLlFWdFo,2011,Zoe Saldana
